Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Global average (Green),Global average (Blue),Global average (Grey),Total Global average
200919,"Orange juice nes,unfermentd&not spiritd,whether or not sugard or sweet",,080510,0.55,1.00,729.0,199.0,90.0,1018.0
080520,"Mandarins(tang&sats)clementines&wilkgs &sim citrus hybrids,fresh/drid","Tangerines, mandarins, clem.",080520,1.00,1.00,479.0,118.0,152.0,749.0
080530,"Lemons and limes, fresh or dried",Lemons and limes,080530,1.00,1.00,432.0,152.0,58.0,642.0
080540,"Grapefruit, fresh or dried",Grapefruit (inc. pomelos),080540,1.00,1.00,367.0,85.0,54.0,506.0
200920,"Grapefruit juice,unfermentd&not spiritd,whether or not sugard or sweet",,080540,0.75,1.00,490.0,114.0,71.0,675.0
080590,"Citrus fruits, fresh or dried, nes","Citrus fruit, nes",080590,1.00,1.00,1145.0,62.0,35.0,1242.0
081400,"Peel of citrus fruit/melons (watermelons) fresh,frz,drid/prov presvd",,080590,0.25,0.30,1370.0,74.0,42.0,1486.0
200930,"Citrus fruit juice nes exc mx unferment unspiritd,wthr/nt sug/sweet",,080590,0.55,0.70,1459.0,79.0,45.0,1583.0
200980,"Fruit&veg juice nes (exc mx) unferment unspiritd,whether/not sug/sweet",,200930,1.00,1.00,1459.0,79.0,45.0,1583.0
200990,Mixtures of juices unfermentd&not spiritd whether o not sugard o sweet,,200930,1.00,1.00,1459.0,79.0,45.0,1583.0
080810,"Apples, fresh",Apples,080810,1.00,1.00,561.0,133.0,127.0,821.0
081330,"Apples, dried",,080810,0.12,1.00,4678.0,1111.0,1058.0,6847.0
200970,Apple juice unfermented&not spiritd whether or not sugard or sweetend,,080810,0.72,1.00,780.0,185.0,176.0,1141.0
080820,"Pears and quinces, fresh",Pears,080820,1.00,1.00,645.0,94.0,183.0,922.0
080910,"Apricots, fresh",Apricots,080910,1.00,1.00,694.0,502.0,92.0,1288.0
081310,"Apricots, dried",,080910,0.29,1.00,2392.0,1730.0,316.0,4438.0
080920_b,Sour cherries,Sour cherries,080920_b,1.00,1.00,1098.0,213.0,99.0,1410.0
080920,"Cherries, fresh",Cherries,080920,1.00,1.00,961.0,531.0,112.0,1604.0
081210,Cherries provisionally preservd but unsuitable f immediate consumption,,080920,1.00,1.00,961.0,531.0,112.0,1604.0
080930,"Peaches, including nectarines, fresh",Peaches and nectarines,080930,1.00,1.00,583.0,188.0,139.0,910.0
080940,"Plums and sloes, fresh",Plums and sloes,080940,1.00,1.00,1570.0,188.0,422.0,2180.0
081320,"Prunes, dried",,080940,0.35,1.00,4487.0,537.0,1204.0,6228.0
081090ac,"Stone fruit, nes","Stone fruit, nes",081090ac,1.00,1.00,868.0,1049.0,136.0,2053.0
081350,Mixtures of edible nuts or dried fruits of this chapter,,081090ac,1.00,1.00,868.0,1049.0,136.0,2053.0
121230,"Apricot,peach/plum stones&kernels nes,usd primly f human consumption",,081090ac,1.00,1.00,868.0,1049.0,136.0,2053.0
