Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Province/ state >>>,Global average
070519,"Lettuce, fresh or chilled nes",,070511,1.00,1.00,Green,133
,,,,,,Blue,28
,,,,,,Grey,77
070970,"Spinach,N-Z spinach & orache spinach (garden spinach),fresh or chilled",Spinach,070970,1.00,1.00,Green,118
,,,,,,Blue,14
,,,,,,Grey,160
071030,"Spinach, N-Z spinach and orache spinach (garden spinach), frozen",,070970,0.35,1.00,Green,338
,,,,,,Blue,39
,,,,,,Grey,457
070200,"Tomatoes, fresh or chilled",Tomatoes,070200,1.00,1.00,Green,108
,,,,,,Blue,63
,,,,,,Grey,43
070200a,"Tomato juice, concentrated",,070200,0.20,1.00,Green,539
,,,,,,Blue,316
,,,,,,Grey,213
070200b,Tomato paste,,070200,0.25,1.00,Green,431
,,,,,,Blue,253
,,,,,,Grey,171
070200c,Tomato ketchup,,070200,0.40,1.00,Green,270
,,,,,,Blue,158
,,,,,,Grey,107
070200d,Tomato puree,,070200,0.30,1.00,Green,360
,,,,,,Blue,211
,,,,,,Grey,142
070200e,Peeled tomatoes,,070200,0.80,1.00,Green,135
,,,,,,Blue,79
,,,,,,Grey,53
070200f,"Tomato, dried",,070200,0.05,1.00,Green,2157
,,,,,,Blue,1265
,,,,,,Grey,853
200950,"Tomato juice unfermented&not spirited,whether or not sugared or sweet",,070200,0.80,1.00,Green,135
,,,,,,Blue,79
,,,,,,Grey,53
070410,"Cauliflowers and headed broccoli, fresh or chilled",Cauliflowers and broccoli,070410,1.00,1.00,Green,189
,,,,,,Blue,21
,,,,,,Grey,75
070420,"Brussels sprouts, fresh or chilled",,070420,1.00,1.00,Green,189
,,,,,,Blue,21
,,,,,,Grey,75
070990_b,"Pumpkins, squash and gourds","Pumpkins, squash and gourds",070990_b,1.00,1.00,Green,228
,,,,,,Blue,24
,,,,,,Grey,84
070700,"Cucumbers and gherkins, fresh or chilled",Cucumbers and gherkins,070700,1.00,1.00,Green,206
,,,,,,Blue,42
,,,,,,Grey,105
071140,"Cucumbers&gherkins provisionally presvd,but nt f immediate consumption",,070700,1.00,1.00,Green,206
,,,,,,Blue,42
,,,,,,Grey,105
070930,"Aubergines(egg-plants), fresh or chilled",Eggplants (aubergines),070930,1.00,1.00,Green,234
,,,,,,Blue,33
,,,,,,Grey,95
070960,"Peppers of the genus Capsicum or of the genus Pimenta,fresh or chilled","Chillies and peppers, green",070960,1.00,1.00,Green,240
,,,,,,Blue,42
,,,,,,Grey,97
070310,"Onions and shallots, fresh or chilled","Onions (inc. shallots), green",070310,1.00,1.00,Green,176
,,,,,,Blue,44
,,,,,,Grey,51
071110,"Onions,provisionally preservd but nt suitable f immediate consumption",,071220,1.00,1.00,Green,192
,,,,,,Blue,88
,,,,,,Grey,65
